Name,Latitude,Longitude,Address,Hour Status
Austin International School,30.4223125,-97.7181875,"4001 Adelphi Ln, Austin, TX 78727",[]
Austin High School,30.2735625,-97.7666875,"1715 W Cesar Chavez St, Austin, TX 78703",[]
Garza Independence High School,30.2773125,-97.7213125,"1600 Chicon St, Austin, TX 78702",[]
Regents School of Austin,30.2545625,-97.8453125,"3230 Travis Country Cir, Austin, TX 78735",[]
Liberal Arts and Science Academy,30.2571875,-97.6819375,"1012 Arthur Stiles Rd, Austin, TX 78721",[]
Austin Waldorf School,30.2314375,-97.9128125,"8700 S View Rd, Austin, TX 78737",[]
Austin Discovery School,30.2678125,-97.6349375,"9303 FM 969, Austin, TX 78724",[]
Headwaters School | River Campus,30.2723125,-97.7483125,"807 Rio Grande St, Austin, TX 78701",[]
Acton Academy (Main Campus),30.2848125,-97.7099375,"2201 Alexander Ave, Austin, TX 78722",[]
Premier High School - Austin South,30.2265625,-97.7834375,"1701 W Ben White Blvd Suite 100A, Austin, TX 78704",[]
Andrews Elementary School,30.3175625,-97.6796875,"6801 Northeast Dr, Austin, TX 78723",[]
Harmony School of Excellence - Austin,30.2104375,-97.7466875,"2100 E St Elmo Rd, Austin, TX 78744",[]
St. Francis School,30.3311875,-97.7101875,"300 E Huntland Dr, Austin, TX 78752",[]
William B. Travis High School,30.2329375,-97.7441875,"1211 E Oltorf St, Austin, TX 78704",[]
Barton Creek Elementary School,30.3073125,-97.8808125,"1314 Patterson Rd, Austin, TX 78733",[]
St. Michael's Catholic Preparatory School,30.290437500000003,-97.8759375,"3000 Barton Creek Blvd, Austin, TX 78735",[]
Cedar Creek Elementary School,30.268812500000003,-97.8065625,"3301 Pinnacle Rd, Austin, TX 78746",[]
St. Michael's Catholic Preparatory School,30.291937500000003,-97.8736875,"2500 Wimberly Ln, Austin, TX 78735",[]
Barton Hills Elementary School,30.2541875,-97.7831875,"2108 Barton Hills Dr, Austin, TX 78704",[]
