Index,SubIndex,ChargerNumber,trainingEVdemand,center,avg_volt
1000,0,16.0,6.0,"(-10881932.46047384, 3537892.4138957523)",1.0244001332610029
1000,1,16.0,7.14285714285714,"(-10881932.46047384, 3537892.4138957523)",1.0244001332610029
1000,2,16.0,6.57142857142857,"(-10881932.46047384, 3537892.4138957523)",1.0244001332610029
1000,3,16.0,6.14285714285714,"(-10881932.46047384, 3537892.4138957523)",1.0244001332610029
1000,4,16.0,3.85714285714286,"(-10881932.46047384, 3537892.4138957523)",1.0244001332610029
1000,5,16.0,2.28571428571429,"(-10881932.46047384, 3537892.4138957523)",1.0244001332610029
1000,6,16.0,2.57142857142857,"(-10881932.46047384, 3537892.4138957523)",1.0244001332610029
1000,7,16.0,4.0,"(-10881932.46047384, 3537892.4138957523)",1.0244001332610029
1000,8,16.0,5.14285714285714,"(-10881932.46047384, 3537892.4138957523)",1.0244001332610029
1000,9,16.0,4.71428571428571,"(-10881932.46047384, 3537892.4138957523)",1.0244001332610029
1000,10,16.0,4.0,"(-10881932.46047384, 3537892.4138957523)",1.0244001332610029
1000,11,16.0,3.0,"(-10881932.46047384, 3537892.4138957523)",1.0244001332610029
1000,12,16.0,3.14285714285714,"(-10881932.46047384, 3537892.4138957523)",1.0244001332610029
1000,13,16.0,3.0,"(-10881932.46047384, 3537892.4138957523)",1.0244001332610029
1000,14,16.0,3.57142857142857,"(-10881932.46047384, 3537892.4138957523)",1.0244001332610029
1000,15,16.0,2.85714285714286,"(-10881932.46047384, 3537892.4138957523)",1.0244001332610029
1000,16,16.0,3.57142857142857,"(-10881932.46047384, 3537892.4138957523)",1.0244001332610029
1000,17,16.0,4.85714285714286,"(-10881932.46047384, 3537892.4138957523)",1.0244001332610029
1000,18,16.0,5.0,"(-10881932.46047384, 3537892.4138957523)",1.0244001332610029
1000,19,16.0,5.14285714285714,"(-10881932.46047384, 3537892.4138957523)",1.0244001332610029
1000,20,16.0,3.85714285714286,"(-10881932.46047384, 3537892.4138957523)",1.0244001332610029
1000,21,16.0,3.85714285714286,"(-10881932.46047384, 3537892.4138957523)",1.0244001332610029
1000,22,16.0,4.14285714285714,"(-10881932.46047384, 3537892.4138957523)",1.0244001332610029
1000,23,16.0,6.57142857142857,"(-10881932.46047384, 3537892.4138957523)",1.0244001332610029
1001,0,10.0,1.71428571428571,"(-10879692.155721623, 3537554.085844867)",1.0244001332610029
1001,1,10.0,1.14285714285714,"(-10879692.155721623, 3537554.085844867)",1.0244001332610029
1001,2,10.0,1.14285714285714,"(-10879692.155721623, 3537554.085844867)",1.0244001332610029
1001,3,10.0,0.571428571428571,"(-10879692.155721623, 3537554.085844867)",1.0244001332610029
1001,4,10.0,1.28571428571429,"(-10879692.155721623, 3537554.085844867)",1.0244001332610029
1001,5,10.0,1.42857142857143,"(-10879692.155721623, 3537554.085844867)",1.0244001332610029
1001,6,10.0,1.28571428571429,"(-10879692.155721623, 3537554.085844867)",1.0244001332610029
1001,7,10.0,1.14285714285714,"(-10879692.155721623, 3537554.085844867)",1.0244001332610029
1001,8,10.0,0.571428571428571,"(-10879692.155721623, 3537554.085844867)",1.0244001332610029
1001,9,10.0,0.571428571428571,"(-10879692.155721623, 3537554.085844867)",1.0244001332610029
1001,10,10.0,1.42857142857143,"(-10879692.155721623, 3537554.085844867)",1.0244001332610029
1001,11,10.0,2.57142857142857,"(-10879692.155721623, 3537554.085844867)",1.0244001332610029
1001,12,10.0,4.42857142857143,"(-10879692.155721623, 3537554.085844867)",1.0244001332610029
1001,13,10.0,4.42857142857143,"(-10879692.155721623, 3537554.085844867)",1.0244001332610029
1001,14,10.0,4.14285714285714,"(-10879692.155721623, 3537554.085844867)",1.0244001332610029
1001,15,10.0,2.85714285714286,"(-10879692.155721623, 3537554.085844867)",1.0244001332610029
1001,16,10.0,2.85714285714286,"(-10879692.155721623, 3537554.085844867)",1.0244001332610029
1001,17,10.0,2.28571428571429,"(-10879692.155721623, 3537554.085844867)",1.0244001332610029
1001,18,10.0,1.14285714285714,"(-10879692.155721623, 3537554.085844867)",1.0244001332610029
1001,19,10.0,0.857142857142857,"(-10879692.155721623, 3537554.085844867)",1.0244001332610029
1001,20,10.0,1.57142857142857,"(-10879692.155721623, 3537554.085844867)",1.0244001332610029
1001,21,10.0,2.0,"(-10879692.155721623, 3537554.085844867)",1.0244001332610029
1001,22,10.0,2.85714285714286,"(-10879692.155721623, 3537554.085844867)",1.0244001332610029
1001,23,10.0,3.0,"(-10879692.155721623, 3537554.085844867)",1.0244001332610029
1002,0,3.0,0.714285714285714,"(-10880958.414929397, 3538456.314082973)",1.0259872715644
1002,1,3.0,0.714285714285714,"(-10880958.414929397, 3538456.314082973)",1.0259872715644
1002,2,3.0,0.285714285714286,"(-10880958.414929397, 3538456.314082973)",1.0259872715644
1002,3,3.0,0.857142857142857,"(-10880958.414929397, 3538456.314082973)",1.0259872715644
1002,4,3.0,0.428571428571429,"(-10880958.414929397, 3538456.314082973)",1.0259872715644
1002,5,3.0,0.428571428571429,"(-10880958.414929397, 3538456.314082973)",1.0259872715644
1002,6,3.0,0.571428571428571,"(-10880958.414929397, 3538456.314082973)",1.0259872715644
1002,7,3.0,0.428571428571429,"(-10880958.414929397, 3538456.314082973)",1.0259872715644
1002,8,3.0,0.285714285714286,"(-10880958.414929397, 3538456.314082973)",1.0259872715644
1002,9,3.0,0.571428571428571,"(-10880958.414929397, 3538456.314082973)",1.0259872715644
1002,10,3.0,0.571428571428571,"(-10880958.414929397, 3538456.314082973)",1.0259872715644
1002,11,3.0,0.571428571428571,"(-10880958.414929397, 3538456.314082973)",1.0259872715644
1002,12,3.0,0.428571428571429,"(-10880958.414929397, 3538456.314082973)",1.0259872715644
1002,13,3.0,0.142857142857143,"(-10880958.414929397, 3538456.314082973)",1.0259872715644
1002,14,3.0,0.428571428571429,"(-10880958.414929397, 3538456.314082973)",1.0259872715644
1002,15,3.0,1.14285714285714,"(-10880958.414929397, 3538456.314082973)",1.0259872715644
1002,16,3.0,1.14285714285714,"(-10880958.414929397, 3538456.314082973)",1.0259872715644
1002,17,3.0,0.857142857142857,"(-10880958.414929397, 3538456.314082973)",1.0259872715644
1002,18,3.0,0.285714285714286,"(-10880958.414929397, 3538456.314082973)",1.0259872715644
1002,19,3.0,0.428571428571429,"(-10880958.414929397, 3538456.314082973)",1.0259872715644
1002,20,3.0,0.714285714285714,"(-10880958.414929397, 3538456.314082973)",1.0259872715644
1002,21,3.0,0.714285714285714,"(-10880958.414929397, 3538456.314082973)",1.0259872715644
