index,osmid_original,y,x,lon,lat,street_count
0,149463639,3346454.0070122764,570990.4497401131,-98.26212,30.247616,3
1,149519418,3346259.306215256,571026.543450856,-98.261758,30.245857,3
2,149516326,3346521.143921114,570987.2239425288,-98.262149,30.248222,3
3,149463675,3346592.38542942,570984.6450418764,-98.262171,30.248865,3
4,149514196,3346925.3636897225,571029.6282386454,-98.261681,30.251867,4
5,149498679,3349842.7989759003,574548.2107330799,-98.224903,30.277981,3
6,149465977,3336097.1969595063,570488.9174566849,-98.2680244,30.1541896,3
7,149478585,3335599.64779143,571242.7937048381,-98.26023,30.149656,3
8,149466059,3335519.5734794782,571625.18792514,-98.256265,30.148911,3
9,149506233,3336069.7126704203,571934.7903096526,-98.253013,30.153857,3
10,149467165,3337559.395626619,571397.246437951,-98.258494,30.167331,3
11,149473130,3337627.390073803,571406.7223782581,-98.258391,30.167944,3
12,149467201,3337791.6790022934,571585.0448264718,-98.256528,30.169416,3
13,149473068,3337944.7509494987,571945.4239838494,-98.252775,30.170776,3
14,149468330,3338099.170294294,572020.0949285587,-98.251989,30.172165,3
15,149473076,3338053.369288908,572015.1958425166,-98.252043,30.171752,3
16,149468336,3338272.4796811766,571696.3947307919,-98.255339,30.173748,3
18,149468358,3338537.903269254,571067.3640715369,-98.261854,30.17618,3
19,149494242,3338522.0409238334,571797.1155130637,-98.254276,30.175994,3
20,149470121,3340524.7953806277,573265.3882903154,-98.2388879,30.1939784,3
21,149512277,3340950.1129367896,571753.4040271468,-98.254565,30.1979065,3
22,149512242,3340480.5445901747,573441.0177573112,-98.2370666,30.1935685,3
23,149473083,3337984.9954914176,571914.1548141588,-98.253097,30.171141,3
24,149476004,3349020.6305486495,571057.5763543405,-98.261249,30.270772,4
25,149477861,3349212.4422816513,571170.1813923841,-98.2600654,30.2724962,3
26,149482085,3348891.486518739,571034.905962465,-98.2614934,30.269608,3
28,149495279,3338549.5107051353,571959.1375253198,-98.2525914,30.1762323,3
29,149477726,3338244.712850544,572697.776472409,-98.244941,30.173438,3
30,149488275,3338327.832500007,572597.9537946046,-98.245972,30.174194,3
31,151442502,3338128.339147802,572829.6928939619,-98.243579,30.17238,3
32,149543490,3349689.859708514,571275.0331498199,-98.258943,30.276798,3
33,149478505,3349742.6544493455,570701.6100931449,-98.264901,30.277308,3
34,2468385899,3348895.116106869,571489.7259260132,-98.256765,30.269614,4
35,2468385902,3348321.7187275356,571234.3149374165,-98.259459,30.264455,4
36,149485327,3347262.1972332736,571019.7446181672,-98.261761,30.254907,3
37,149519128,3347137.430452449,571022.5750235587,-98.26174,30.253781,3
38,149519140,3347562.7347196913,571093.1319860897,-98.2609779,30.2576146,3
39,149485404,3345008.8182029896,570755.8858514723,-98.264655,30.234589,3
40,149490863,3345095.1381169353,570754.3656949775,-98.264665,30.235368,3
41,149500917,3344467.323618441,570769.58589668,-98.264549,30.229702,3
42,149485455,3345151.7901554275,572099.6368432833,-98.250681,30.2358,3
43,149485467,3345153.758323442,572179.6848357612,-98.249849,30.235813,3
44,149500936,3345060.9562670225,571937.2250204312,-98.252375,30.23499,3
45,149516371,3345096.819266813,572216.8192020762,-98.249467,30.235297,3
46,2634136222,3345731.9478518753,571675.4122935323,-98.2550501,30.2410602,3
47,149489667,3332245.06369854,570453.7515194461,-98.2686459,30.1194312,3
48,149506074,3332329.7719048224,570584.7985373487,-98.26728,30.120188,3
49,149519470,3345527.2552297125,570741.0844175594,-98.264774,30.239268,3
50,149494198,3354299.887232553,578776.5492836556,-98.1806092,30.3179309,3
51,151490754,3352928.4493314237,579206.4021294278,-98.176242,30.305528,3
52,149544808,3355745.843777311,577968.6136780761,-98.1889047,30.3310305,3
53,149494790,3341247.341165676,573452.8816896696,-98.23689,30.200487,3
54,151444511,3340380.16832353,573836.2888895608,-98.2329677,30.1926388,3
55,7605021500,3341598.5749774454,573394.4575759192,-98.2374725,30.2036599,3
56,149495406,3346290.3982217275,571833.986446169,-98.253364,30.24609,3
57,149501324,3346238.8103583236,572027.8185071227,-98.251353,30.245613,3
58,149545915,3345931.7923993347,571463.5739585125,-98.2572381,30.242876,3
59,149495463,3345667.313835512,570738.0623458544,-98.264796,30.240532,3
60,149519524,3345682.8882910097,571225.711664491,-98.259727,30.240644,3
61,149521961,3349400.7642790717,575682.6200779643,-98.213141,30.273922,3
62,149506583,3349797.127609426,571511.3360785384,-98.256479,30.277752,3
63,149519493,3344490.7714565094,571682.489965325,-98.255061,30.22986,3
64,149533701,3345229.5135291703,571717.2986891505,-98.254649,30.236524,3
65,151480189,3332172.467766848,570835.3301426666,-98.26469,30.118754,3
66,151478948,3336607.821829084,572519.3829656811,-98.246906,30.158678,3
67,149506922,3353122.3865288207,571341.8234922043,-98.2580155,30.3077673,2
68,149519188,3349770.794990022,571450.1415032536,-98.257117,30.277518,3
69,2194667204,3353189.3789421148,571365.5785546829,-98.2577639,30.3083704,2
70,149508045,3348077.707378676,571152.0170827168,-98.260331,30.262258,3
71,149527794,3344835.2120443885,572409.5131984263,-98.2474825,30.2329249,3
72,2634136214,3345303.256215325,571636.3709241468,-98.255485,30.2371942,3
73,151514034,3349473.658653892,577121.508333398,-98.198177,30.274489,3
74,149535998,3347438.5123146474,574273.2885937378,-98.227931,30.256303,3
75,149528918,3345238.1186716645,573242.9514269084,-98.2387936,30.2365105,3
76,150012740,3312556.4821694833,614904.0169601996,-97.8094168,29.9384092,3
77,149959611,3308678.081265136,619440.4616309572,-97.762854,29.902983,3
78,149969147,3308361.0620433954,619096.6209465058,-97.76645,29.900156,3
79,150006466,3308140.9021753846,619946.2775368571,-97.757676,29.898087,3
80,149989210,3308150.298848453,618862.5804949637,-97.768897,29.898277,3
81,149970365,3312039.7325389944,613988.7274969978,-97.818954,29.933832,3
82,1882423050,3312106.7774730963,614095.6705392866,-97.817839,29.934427,3
